created_date,datasets_created,Agency
2023-10-04,2,HHS-GOV
2023-10-11,1,HHS-GOV
2023-10-19,1,HHS-GOV
2023-10-22,3,HHS-GOV
2023-10-25,1,HHS-GOV
2023-10-30,17,HHS-GOV
2023-11-01,1,HHS-GOV
2023-11-08,2,HHS-GOV
2023-11-15,1,HHS-GOV
2023-11-16,1,HHS-GOV
2023-11-17,1,HHS-GOV
2023-11-21,1,HHS-GOV
2023-11-22,1,HHS-GOV
2023-11-28,1,HHS-GOV
2023-11-29,1,HHS-GOV
2023-11-30,8,HHS-GOV
2023-12-01,2,HHS-GOV
2023-12-03,1,HHS-GOV
2023-12-05,1,HHS-GOV
2023-12-07,5,HHS-GOV
2023-12-08,4,HHS-GOV
2023-12-13,1,HHS-GOV
2024-01-19,15,HHS-GOV
2024-01-24,1,HHS-GOV
2024-01-28,1,HHS-GOV
2024-01-30,1,HHS-GOV
2024-01-31,1,HHS-GOV
2024-02-14,2,HHS-GOV
2024-02-24,1,HHS-GOV
2024-02-29,2,HHS-GOV
2024-03-02,2,HHS-GOV
2024-03-06,1,HHS-GOV
2024-03-09,1,HHS-GOV
2024-03-10,1,HHS-GOV
2024-03-13,1,HHS-GOV
2024-03-21,1,HHS-GOV
2024-03-27,3,HHS-GOV
2024-04-02,1,HHS-GOV
2024-04-26,1,HHS-GOV
2024-05-04,1,HHS-GOV
2024-05-08,6,HHS-GOV
2024-06-27,2,HHS-GOV
2025-02-03,137,HHS-GOV
2025-02-22,1,HHS-GOV
2025-03-14,1,HHS-GOV
2025-03-22,2,HHS-GOV
2025-03-26,11,HHS-GOV
2025-03-27,1,HHS-GOV
2025-04-11,3,HHS-GOV
2025-04-17,1,HHS-GOV
2025-04-19,10,HHS-GOV
2025-04-24,1,HHS-GOV
2025-04-28,1,HHS-GOV
2025-04-30,1,HHS-GOV
2025-05-01,6,HHS-GOV
2025-05-07,7,HHS-GOV
2025-05-15,2,HHS-GOV
2025-05-24,1,HHS-GOV
2025-05-29,1,HHS-GOV
2025-06-04,1,HHS-GOV
